GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule,App,7,0,0,0,3,0,2,0,2,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.po,ReviewPO,78,45,0,0,30,14,9,7,9,7
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.po,HotelInfoPO,168,98,0,0,57,32,13,16,13,16
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.po,UserPO,33,177,0,0,15,60,8,22,8,22
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.po,PersonalPO,86,0,0,0,36,0,18,0,18,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.po,OrderPO,427,0,2,0,132,0,44,0,43,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.po,CreditPO,33,95,0,0,15,29,8,8,8,8
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.po,DistrictPO,183,0,8,0,38,0,12,0,8,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.po,RoomPO,26,75,0,0,13,24,7,8,7,8
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.po,StrategyPO,247,70,4,0,63,21,24,6,22,6
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.po,RoomTypePO,23,74,0,0,12,24,6,8,6,8
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.createorderbl,CreateOrder,502,31,39,1,90,9,24,2,4,2
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.createorderbl,CreateOrderController,33,0,0,0,7,0,6,0,6,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.rmiinit,HMSServer,116,0,0,0,33,0,3,0,3,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.strategybl,StrategyController,28,0,0,0,6,0,5,0,5,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.strategybl,Strategy,48,11,2,0,10,4,4,2,3,2
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.datahelper,UserDataSqlHelper,485,382,39,9,129,103,27,11,3,11
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.datahelper,LocationDataSqlHelper,161,0,6,0,41,0,6,0,3,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.datahelper,Connect,16,21,0,0,6,9,1,1,1,1
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.datahelper,DataFactory,6,45,0,0,2,15,1,8,1,8
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.datahelper,OrderDataSqlHelper,772,15,20,0,198,3,23,1,13,1
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.datahelper,HotelInfoDataSqlHelper,253,202,7,1,73,48,8,4,4,4
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.datahelper,CreditDataSqlHelper,64,78,2,0,17,21,1,3,0,3
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.datahelper,StrategyDataSqlHelper,262,43,4,0,68,10,6,2,4,2
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.datahelper,ReviewDataSqlHelper,171,49,4,0,45,13,4,2,2,2
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.datahelper,RoomDataSqlHelper,303,265,21,1,68,68,14,11,3,11
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.manageorderbl,ManageOrderController,51,8,0,0,10,2,10,2,10,2
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.manageorderbl,ManageOrder,1626,23,201,0,310,6,112,1,10,1
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.searchhotelbl,SearchHotel,226,0,34,0,50,0,22,0,5,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.searchhotelbl,SearchHotelController,26,0,0,0,6,0,6,0,6,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.searchhotelbl,SearchHotel.new Comparator() {...},12,0,0,0,3,0,2,0,2,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.searchhotelbl,SearchHotel.new Comparator() {...},12,0,0,0,3,0,2,0,2,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.searchhotelbl,SearchHotel.new Comparator() {...},14,0,0,0,3,0,2,0,2,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.searchhotelbl,SearchHotel.new Comparator() {...},14,0,0,0,3,0,2,0,2,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.searchhotelbl,SearchHotel.new Comparator() {...},12,0,0,0,3,0,2,0,2,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.searchhotelbl,SearchHotel.new Comparator() {...},12,0,0,0,3,0,2,0,2,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.dataservice.impl,CreditDataImpl,0,46,1,3,0,12,1,5,0,4
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.dataservice.impl,RoomDataImpl,5,72,1,3,1,17,2,12,1,11
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.dataservice.impl,HotelInfoDataImpl,15,46,1,3,3,12,4,5,3,4
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.dataservice.impl,UserDataImpl,19,76,1,3,3,18,4,11,3,10
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.dataservice.impl,OrderDataImpl,48,36,1,3,9,10,10,3,9,2
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.dataservice.impl,LocationDataImpl,45,0,4,0,12,0,6,0,4,0
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.dataservice.impl,StrategyDataImpl,20,36,1,3,4,10,5,3,4,2
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.dataservice.impl,ReviewDataImpl,5,41,1,3,1,11,2,4,1,3
ServerModule (3) (2016-12-18 22:46:19)/ServerModule/src/main/java,tiquartet.ServerModule.bl.manageuserbl,ManageUser.new Comparator() {...},12,0,0,0,3,0,2,0,2,0
